"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test11.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test12.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test13.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test14.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test15.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test16.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test17.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test18.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test19.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 19
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test2.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 9
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test20.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 40
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test21.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 24
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test22.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 6, 46
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test23.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test24.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test25.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\test26.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
